date,match,score,vrai_resultat,pronostic,correct,proba_1,proba_N,proba_2
2022-11-20,Qatar vs Ecuador,0-2,2,2,True,30.11267,31.66293,38.224396
2022-11-21,United States vs Wales,1-1,N,N,True,26.058617,61.356808,12.58458
2022-11-21,England vs Iran,6-2,1,1,True,39.876427,28.48987,31.633701
2022-11-21,Senegal vs Netherlands,0-2,2,2,True,8.708755,35.8601,55.431145
2022-11-22,Argentina vs Saudi Arabia,1-2,2,1,False,63.602974,28.918118,7.4789143
2022-11-22,Mexico vs Poland,0-0,N,N,True,27.005365,47.54452,25.450111
2022-11-22,Denmark vs Tunisia,0-0,N,N,True,21.105051,45.22703,33.66791
2022-11-22,France vs Australia,4-1,1,1,True,47.677868,39.15132,13.170813
2022-11-23,Germany vs Japan,1-2,2,2,True,29.549461,33.45547,36.995064
2022-11-23,Spain vs Costa Rica,7-0,1,1,True,78.06245,14.498851,7.438705
2022-11-23,Morocco vs Croatia,0-0,N,2,False,15.529555,32.960995,51.509453
2022-11-23,Belgium vs Canada,1-0,1,1,True,48.45505,32.823483,18.721472
2022-11-24,Uruguay vs South Korea,0-0,N,N,True,31.718605,40.262356,28.019037
2022-11-24,Portugal vs Ghana,3-2,1,1,True,65.10932,24.327858,10.5628195
2022-11-24,Brazil vs Serbia,2-0,1,1,True,45.859837,36.968567,17.171595
2022-11-24,Switzerland vs Cameroon,1-0,1,N,False,17.382252,48.43429,34.18346
2022-11-25,Qatar vs Senegal,1-3,2,2,True,16.60968,29.090866,54.29945
2022-11-25,Netherlands vs Ecuador,1-1,N,1,False,59.244408,24.263336,16.492258
2022-11-25,Wales vs Iran,0-2,2,2,True,15.601222,24.75545,59.643322
2022-11-25,England vs United States,0-0,N,1,False,67.54261,20.175665,12.281727
2022-11-26,Argentina vs Mexico,2-0,1,1,True,59.635628,23.743626,16.620749
2022-11-26,Tunisia vs Australia,0-1,2,N,False,16.528175,45.01549,38.456333
2022-11-26,France vs Denmark,2-1,1,1,True,49.339134,25.739622,24.921244
2022-11-26,Poland vs Saudi Arabia,2-0,1,N,False,31.792376,46.10659,22.101032
2022-11-27,Croatia vs Canada,4-1,1,1,True,47.696014,31.094234,21.20975
2022-11-27,Belgium vs Morocco,0-2,2,N,False,20.82282,39.625114,39.552063
2022-11-27,Spain vs Germany,1-1,N,2,False,35.238976,22.16808,42.59294
2022-11-27,Japan vs Costa Rica,0-1,2,N,False,26.908783,55.47291,17.618305
2022-11-28,Brazil vs Switzerland,1-0,1,1,True,39.619118,34.368816,26.01207
2022-11-28,South Korea vs Ghana,2-3,2,N,False,29.855341,47.841187,22.303476
2022-11-28,Portugal vs Uruguay,2-0,1,1,True,45.538986,27.766075,26.694939
2022-11-28,Cameroon vs Serbia,3-3,N,2,False,18.777163,40.005238,41.2176
2022-11-29,Wales vs England,0-3,2,2,True,3.4918764,13.679325,82.8288
2022-11-29,Iran vs United States,0-1,2,2,True,23.71112,25.064945,51.223934
2022-11-29,Ecuador vs Senegal,1-2,2,2,True,9.288187,40.029594,50.682224
2022-11-29,Qatar vs Netherlands,0-2,2,2,True,6.771273,20.0185,73.21023
2022-11-30,Australia vs Denmark,1-0,1,2,False,15.135423,23.693758,61.170822
2022-11-30,Tunisia vs France,1-0,1,2,False,6.0803695,23.927479,69.99215
2022-11-30,Poland vs Argentina,0-2,2,2,True,5.7365103,22.976307,71.287186
2022-11-30,Saudi Arabia vs Mexico,1-2,2,2,True,10.981327,22.956137,66.06253
2022-12-01,Japan vs Spain,2-1,1,2,False,4.401361,41.717552,53.881092
2022-12-01,Costa Rica vs Germany,2-4,2,2,True,9.9977045,25.347815,64.65449
2022-12-01,Croatia vs Belgium,0-0,N,2,False,19.99771,38.55933,41.44296
2022-12-01,Canada vs Morocco,1-2,2,2,True,15.8576145,35.45721,48.685177
2022-12-02,Serbia vs Switzerland,2-3,2,2,True,18.714008,25.231731,56.05426
2022-12-02,Cameroon vs Brazil,1-0,1,2,False,3.488829,22.121494,74.38968
2022-12-02,Ghana vs Uruguay,0-2,2,2,True,8.051324,20.595518,71.353165
2022-12-02,South Korea vs Portugal,2-1,1,2,False,5.3058963,31.483253,63.21085
2022-12-03,Argentina vs Australia,2-1,1,1,True,46.927147,35.72016,17.352694
2022-12-03,Netherlands vs United States,3-1,1,1,True,49.06976,17.219997,33.710243
2022-12-04,France vs Poland,3-1,1,1,True,46.049656,39.007057,14.943293
2022-12-04,England vs Senegal,3-0,1,1,True,48.268803,33.28754,18.443653
2022-12-05,Japan vs Croatia,1-1,N,2,False,10.800039,43.02351,46.176453
2022-12-05,Brazil vs South Korea,4-1,1,1,True,58.41942,27.350792,14.229793
2022-12-06,Morocco vs Spain,0-0,N,2,False,17.319689,37.74519,44.935123
2022-12-06,Portugal vs Switzerland,6-1,1,1,True,38.136917,30.163353,31.699726
2022-12-09,Croatia vs Brazil,1-1,N,2,False,9.730515,40.64807,49.621418
2022-12-09,Netherlands vs Argentina,2-2,N,2,False,13.641827,20.25826,66.099915
2022-12-10,England vs France,1-2,2,1,False,37.641396,35.949745,26.408854
2022-12-10,Morocco vs Portugal,1-0,1,N,False,15.221554,42.659447,42.119
2022-12-13,Argentina vs Croatia,3-0,1,N,False,21.914051,46.834038,31.251907
2022-12-14,France vs Morocco,2-0,1,1,True,48.129265,27.909315,23.961428
2022-12-17,Croatia vs Morocco,2-1,1,N,False,25.136889,45.314587,29.548529
2022-12-18,Argentina vs France,3-3,N,2,False,22.73206,27.669788,49.598156
