date,match,score,vrai_resultat,pronostic,correct,proba_1,proba_N,proba_2,proba_elo_dom
2022-11-20,Qatar vs Ecuador,0-2,2,2,True,32.49762,27.48055,40.021828,30.9
2022-11-21,United States vs Wales,1-1,N,1,False,42.056755,42.02965,15.913595,85.13
2022-11-21,England vs Iran,6-2,1,1,True,47.11326,27.898117,24.988619,77.08
2022-11-21,Senegal vs Netherlands,0-2,2,2,True,10.127689,37.329834,52.542477,40.22
2022-11-22,Argentina vs Saudi Arabia,1-2,2,1,False,59.721493,29.484621,10.793879,93.15
2022-11-22,Mexico vs Poland,0-0,N,N,True,27.62023,46.92175,25.458029,70.7
2022-11-22,Denmark vs Tunisia,0-0,N,N,True,22.747261,45.106377,32.146362,68.85
2022-11-22,France vs Australia,4-1,1,1,True,56.4932,30.320734,13.18607,84.65
2022-11-23,Germany vs Japan,1-2,2,1,False,41.529476,34.665154,23.805363,59.93000000000001
2022-11-23,Spain vs Costa Rica,7-0,1,1,True,71.50177,18.597105,9.901127,91.66
2022-11-23,Morocco vs Croatia,0-0,N,2,False,17.630104,34.62664,47.74325,55.559999999999995
2022-11-23,Belgium vs Canada,1-0,1,N,False,39.00666,39.420433,21.57291,73.61
2022-11-24,Uruguay vs South Korea,0-0,N,N,True,26.493444,47.589146,25.917408,61.91
2022-11-24,Portugal vs Ghana,3-2,1,1,True,64.51243,26.81441,8.67316,91.71000000000001
2022-11-24,Brazil vs Serbia,2-0,1,1,True,40.286537,39.792015,19.921448,81.05
2022-11-24,Switzerland vs Cameroon,1-0,1,N,False,14.687772,45.54199,39.77024,72.47
2022-11-25,Qatar vs Senegal,1-3,2,2,True,14.545122,34.27222,51.18266,20.630000000000003
2022-11-25,Netherlands vs Ecuador,1-1,N,1,False,40.682674,34.808453,24.508865,71.89
2022-11-25,Wales vs Iran,0-2,2,2,True,8.5658655,33.871517,57.562614,19.59
2022-11-25,England vs United States,0-0,N,1,False,52.744175,27.555927,19.6999,70.67999999999999
2022-11-26,Argentina vs Mexico,2-0,1,1,True,52.694313,27.41039,19.89529,75.32
2022-11-26,Tunisia vs Australia,0-1,2,2,True,18.758978,35.593994,45.64703,36.309999999999995
2022-11-26,France vs Denmark,2-1,1,1,True,45.224884,33.33523,21.439882,81.41000000000001
2022-11-26,Poland vs Saudi Arabia,2-0,1,N,False,21.816336,51.00162,27.182045,64.87
2022-11-27,Croatia vs Canada,4-1,1,1,True,45.80772,35.78381,18.408474,71.59
2022-11-27,Belgium vs Morocco,0-2,2,2,True,22.507753,30.486757,47.00549,46.96
2022-11-27,Spain vs Germany,1-1,N,2,False,27.730984,28.7991,43.469917,69.86
2022-11-27,Japan vs Costa Rica,0-1,2,N,False,26.639032,50.185577,23.17539,76.03
2022-11-28,Brazil vs Switzerland,1-0,1,1,True,45.721603,28.873386,25.405005,65.55
2022-11-28,South Korea vs Ghana,2-3,2,N,False,29.149675,46.077034,24.773285,80.14
2022-11-28,Portugal vs Uruguay,2-0,1,1,True,35.29428,34.36268,30.343046,62.77
2022-11-28,Cameroon vs Serbia,3-3,N,N,True,17.638575,44.20547,38.155956,46.06
2022-11-29,Wales vs England,0-3,2,2,True,2.8761158,23.52876,73.59512,6.76
2022-11-29,Iran vs United States,0-1,2,2,True,21.428885,30.832668,47.73845,41.75
2022-11-29,Ecuador vs Senegal,1-2,2,2,True,12.237956,41.010235,46.75181,36.76
2022-11-29,Qatar vs Netherlands,0-2,2,2,True,8.947751,20.826193,70.22606,14.879999999999999
2022-11-30,Australia vs Denmark,1-0,1,2,False,16.305782,26.378521,57.315697,44.25
2022-11-30,Tunisia vs France,1-0,1,2,False,4.742787,26.183107,69.074104,9.370000000000001
2022-11-30,Poland vs Argentina,0-2,2,2,True,4.348774,12.548955,83.10227,11.959999999999999
2022-11-30,Saudi Arabia vs Mexico,1-2,2,2,True,14.821916,20.199099,64.97898,18.33
2022-12-01,Japan vs Spain,2-1,1,2,False,8.019869,44.014595,47.965534,22.39
2022-12-01,Costa Rica vs Germany,2-4,2,2,True,10.693654,26.15509,63.151253,17.41
2022-12-01,Croatia vs Belgium,0-0,N,2,False,20.624512,38.233753,41.14173,47.46
2022-12-01,Canada vs Morocco,1-2,2,2,True,11.327656,34.000164,54.67218,24.09
2022-12-02,Serbia vs Switzerland,2-3,2,2,True,19.388296,28.269592,52.342117,30.78
2022-12-02,Cameroon vs Brazil,1-0,1,2,False,6.9888344,39.049458,53.961708,16.64
2022-12-02,Ghana vs Uruguay,0-2,2,2,True,6.486054,12.036552,81.477394,13.23
2022-12-02,South Korea vs Portugal,2-1,1,2,False,6.1546874,28.328695,65.516624,26.729999999999997
2022-12-03,Argentina vs Australia,2-1,1,1,True,59.71314,23.6492,16.63766,84.46000000000001
2022-12-03,Netherlands vs United States,3-1,1,2,False,35.340893,24.357977,40.301132,61.96
2022-12-04,France vs Poland,3-1,1,1,True,48.711544,37.550884,13.737573,88.19
2022-12-04,England vs Senegal,3-0,1,1,True,47.180435,39.333714,13.485852,68.75
2022-12-05,Japan vs Croatia,1-1,N,2,False,12.734129,39.064552,48.201324,41.92
2022-12-05,Brazil vs South Korea,4-1,1,1,True,53.866642,31.752405,14.380953,72.97
2022-12-06,Morocco vs Spain,0-0,N,2,False,16.930174,34.680687,48.38914,33.32
2022-12-06,Portugal vs Switzerland,6-1,1,N,False,36.944324,37.910484,25.145197,65.9
2022-12-09,Croatia vs Brazil,1-1,N,2,False,15.746303,40.432934,43.82077,43.69
2022-12-09,Netherlands vs Argentina,2-2,N,2,False,13.063592,23.816494,63.11992,33.78
2022-12-10,England vs France,1-2,2,2,True,27.666601,34.87169,37.461708,42.66
