tour,equipe_1,equipe_2,vainqueur,confiance
1/16 DE FINALE,South Korea,Canada,Canada,58.2
1/16 DE FINALE,Morocco,Japan,Japan,81.2
1/16 DE FINALE,Germany,Ecuador,Germany,66.5
1/16 DE FINALE,Netherlands,Brazil,Brazil,67.9
1/16 DE FINALE,Ivory Coast,Senegal,Senegal,78.2
1/16 DE FINALE,France,Egypt,France,81.4
1/16 DE FINALE,Mexico,Algeria,Algeria,50.8
1/16 DE FINALE,England,Norway,England,68.7
1/16 DE FINALE,Belgium,Czech Republic,Belgium,70.7
1/16 DE FINALE,Turkey,Qatar,Turkey,63.5
1/16 DE FINALE,Spain,Austria,Spain,81.1
1/16 DE FINALE,Colombia,Croatia,Croatia,79.9
1/16 DE FINALE,Switzerland,Scotland,Switzerland,54.0
1/16 DE FINALE,United States,Iran,Iran,70.1
1/16 DE FINALE,Argentina,Uruguay,Argentina,62.9
1/16 DE FINALE,Portugal,Paraguay,Portugal,80.6
1/8 DE FINALE,Canada,Japan,Japan,79.1
1/8 DE FINALE,Germany,Brazil,Brazil,78.9
1/8 DE FINALE,Senegal,France,France,85.3
1/8 DE FINALE,Algeria,England,England,91.2
1/8 DE FINALE,Belgium,Turkey,Belgium,52.5
1/8 DE FINALE,Spain,Croatia,Spain,72.4
1/8 DE FINALE,Switzerland,Iran,Iran,64.2
1/8 DE FINALE,Argentina,Portugal,Argentina,58.3
QUARTS DE FINALE,Japan,Brazil,Brazil,79.5
QUARTS DE FINALE,France,England,England,70.0
QUARTS DE FINALE,Belgium,Spain,Spain,89.2
QUARTS DE FINALE,Iran,Argentina,Argentina,88.0
DEMI-FINALES,Brazil,England,England,86.3
DEMI-FINALES,Spain,Argentina,Spain,65.9
FINALE,England,Spain,Spain,81.0
