equipe,elo
Argentina,2069.7883179273394
Spain,2052.4246874790792
France,2004.912297580041
Brazil,1947.2187804669006
Colombia,1932.1702954097614
Portugal,1931.2966922111827
Ecuador,1924.4687928665032
Morocco,1914.0705531687506
Japan,1909.2983148643862
Netherlands,1892.4652892558936
England,1892.1231192829798
Germany,1890.4155089522562
Croatia,1889.0274945828764
Senegal,1879.467876520539
Uruguay,1875.800866702376
Mexico,1859.8833326277775
Turkey,1856.320925206384
Italy,1842.7020882051295
Paraguay,1833.5447948278195
Switzerland,1829.825147210816
Belgium,1826.820172686357
Algeria,1824.2675364795753
Denmark,1819.8509032679094
Australia,1817.6040002948105
Iran,1816.4670516120416
Canada,1814.6422524099903
Norway,1805.6830458651534
Austria,1800.1011770343666
South Korea,1799.5442371942054
Nigeria,1787.5207901638955
Ukraine,1778.8360968662946
Uzbekistan,1775.6070012367634
Jersey,1769.9429148524066
Panama,1769.2042319090763
Egypt,1767.705132461805
Russia,1764.9674156243127
Ivory Coast,1759.4317709060717
Serbia,1755.608936321329
Venezuela,1754.5588682504022
Chile,1748.1901617756025
United States,1733.7970062664735
Poland,1724.4555955637395
Sweden,1723.5403930252792
DR Congo,1723.1795335602603
Tunisia,1716.3973339936185
Jordan,1715.3747089645062
Greece,1712.851826827284
Slovenia,1711.9448959936603
Iraq,1710.335855064929
Czech Republic,1704.9348338167192
Kosovo,1695.1992919499448
Basque Country,1695.0075181900518
Hungary,1694.0069553602689
Scotland,1692.7458897582867
Isle of Man,1684.2859486076482
Guernsey,1683.8147296488778
Mali,1681.76517499991
Peru,1679.294598980057
Costa Rica,1679.0306479123453
Cameroon,1675.7159927032806
Ynys Môn,1664.9907598629575
Republic of Ireland,1661.355296459949
Northern Cyprus,1659.357139880782
Burkina Faso,1659.142711176501
Wales,1658.8450378663836
Bolivia,1657.8964907531938
Occitania,1656.3555542055778
Cape Verde,1650.1111905063005
Jamaica,1648.1222402895555
Slovakia,1647.9785015539403
Haiti,1647.9252239570155
Honduras,1646.7758710125063
New Zealand,1645.1256297333866
Saudi Arabia,1641.6629461927673
Padania,1638.634769423007
United Arab Emirates,1627.359664501129
Albania,1625.0135746295814
Israel,1621.7478535532607
Georgia,1620.5276396742497
Iraqi Kurdistan,1611.0966258344547
Catalonia,1610.6624064649475
Isle of Wight,1610.2759950665936
Guatemala,1609.0458782871328
South Africa,1607.2406711136573
Abkhazia,1603.3773208151747
Andalusia,1597.0515934077775
County of Nice,1595.4806614358329
Iceland,1594.276562465404
Kárpátalja,1591.8084559532786
Romania,1591.53911096274
Oman,1588.9845073494307
Bosnia and Herzegovina,1588.2445314046759
Kernow,1586.0752906385842
Syria,1585.3725850370884
Northern Ireland,1583.548911033892
Réunion,1576.617403597051
Tamil Eelam,1576.0349287802615
North Macedonia,1571.0963417566377
Ghana,1569.7552645521712
Ellan Vannin,1569.395330873391
Kurdistan,1568.8020847804582
Palestine,1567.9368309806873
Suriname,1565.72379164481
Rhodes,1564.3796842541083
Angola,1564.1565563832983
Belarus,1560.638059534063
Benin,1560.0737276277628
Guinea,1558.2025011383603
Yorkshire,1557.1291899185323
Arameans Suryoye,1552.2702668949835
Zanzibar,1551.7658405916397
