id_match,date,phase,equipe_domicile,equipe_exterieur,buts_domicile,buts_exterieur,vainqueur,prolongation
537327,2026-06-11,GROUP_STAGE,Mexico,South Africa,2,0,HOME_TEAM,REGULAR
537328,2026-06-12,GROUP_STAGE,South Korea,Czechia,2,1,HOME_TEAM,REGULAR
537333,2026-06-12,GROUP_STAGE,Canada,Bosnia-Herzegovina,1,1,DRAW,REGULAR
537345,2026-06-13,GROUP_STAGE,United States,Paraguay,4,1,HOME_TEAM,REGULAR
537334,2026-06-13,GROUP_STAGE,Qatar,Switzerland,1,1,DRAW,REGULAR
537339,2026-06-13,GROUP_STAGE,Brazil,Morocco,1,1,DRAW,REGULAR
537340,2026-06-14,GROUP_STAGE,Haiti,Scotland,0,1,AWAY_TEAM,REGULAR
537346,2026-06-14,GROUP_STAGE,Australia,Turkey,2,0,HOME_TEAM,REGULAR
537351,2026-06-14,GROUP_STAGE,Germany,Curaçao,7,1,HOME_TEAM,REGULAR
537357,2026-06-14,GROUP_STAGE,Netherlands,Japan,2,2,DRAW,REGULAR
537352,2026-06-14,GROUP_STAGE,Ivory Coast,Ecuador,1,0,HOME_TEAM,REGULAR
537370,2026-06-15,GROUP_STAGE,Saudi Arabia,Uruguay,1,1,DRAW,REGULAR
537363,2026-06-15,GROUP_STAGE,Belgium,Egypt,1,1,DRAW,REGULAR
537369,2026-06-15,GROUP_STAGE,Spain,Cape Verde Islands,0,0,DRAW,REGULAR
537358,2026-06-15,GROUP_STAGE,Sweden,Tunisia,5,1,HOME_TEAM,REGULAR
537364,2026-06-16,GROUP_STAGE,Iran,New Zealand,2,2,DRAW,REGULAR
537391,2026-06-16,GROUP_STAGE,France,Senegal,3,1,HOME_TEAM,REGULAR
537392,2026-06-16,GROUP_STAGE,Iraq,Norway,1,4,AWAY_TEAM,REGULAR
537397,2026-06-17,GROUP_STAGE,Argentina,Algeria,3,0,HOME_TEAM,REGULAR
537398,2026-06-17,GROUP_STAGE,Austria,Jordan,3,1,HOME_TEAM,REGULAR
537403,2026-06-17,GROUP_STAGE,Portugal,Congo DR,1,1,DRAW,REGULAR
537409,2026-06-17,GROUP_STAGE,England,Croatia,4,2,HOME_TEAM,REGULAR
537410,2026-06-17,GROUP_STAGE,Ghana,Panama,1,0,HOME_TEAM,REGULAR
537336,2026-06-18,GROUP_STAGE,Canada,Qatar,6,0,HOME_TEAM,REGULAR
537335,2026-06-18,GROUP_STAGE,Switzerland,Bosnia-Herzegovina,4,1,HOME_TEAM,REGULAR
537329,2026-06-18,GROUP_STAGE,Czechia,South Africa,1,1,DRAW,REGULAR
537404,2026-06-18,GROUP_STAGE,Uzbekistan,Colombia,1,3,AWAY_TEAM,REGULAR
537330,2026-06-19,GROUP_STAGE,Mexico,South Korea,1,0,HOME_TEAM,REGULAR
537348,2026-06-19,GROUP_STAGE,United States,Australia,2,0,HOME_TEAM,REGULAR
537342,2026-06-19,GROUP_STAGE,Scotland,Morocco,0,1,AWAY_TEAM,REGULAR
537341,2026-06-20,GROUP_STAGE,Brazil,Haiti,3,0,HOME_TEAM,REGULAR
537347,2026-06-20,GROUP_STAGE,Turkey,Paraguay,0,1,AWAY_TEAM,REGULAR
537359,2026-06-20,GROUP_STAGE,Netherlands,Sweden,5,1,HOME_TEAM,REGULAR
537353,2026-06-20,GROUP_STAGE,Germany,Ivory Coast,2,1,HOME_TEAM,REGULAR
537372,2026-06-21,GROUP_STAGE,Uruguay,Cape Verde Islands,2,2,DRAW,REGULAR
537371,2026-06-21,GROUP_STAGE,Spain,Saudi Arabia,4,0,HOME_TEAM,REGULAR
537365,2026-06-21,GROUP_STAGE,Belgium,Iran,0,0,DRAW,REGULAR
537354,2026-06-21,GROUP_STAGE,Ecuador,Curaçao,0,0,DRAW,REGULAR
537360,2026-06-21,GROUP_STAGE,Tunisia,Japan,0,4,AWAY_TEAM,REGULAR
537366,2026-06-22,GROUP_STAGE,New Zealand,Egypt,1,3,AWAY_TEAM,REGULAR
537399,2026-06-22,GROUP_STAGE,Argentina,Austria,2,0,HOME_TEAM,REGULAR
537393,2026-06-22,GROUP_STAGE,France,Iraq,3,0,HOME_TEAM,REGULAR
537394,2026-06-23,GROUP_STAGE,Norway,Senegal,3,2,HOME_TEAM,REGULAR
537400,2026-06-23,GROUP_STAGE,Jordan,Algeria,1,2,AWAY_TEAM,REGULAR
537405,2026-06-23,GROUP_STAGE,Portugal,Uzbekistan,5,0,HOME_TEAM,REGULAR
537411,2026-06-23,GROUP_STAGE,England,Ghana,0,0,DRAW,REGULAR
537412,2026-06-23,GROUP_STAGE,Panama,Croatia,0,1,AWAY_TEAM,REGULAR
537337,2026-06-24,GROUP_STAGE,Switzerland,Canada,2,1,HOME_TEAM,REGULAR
537406,2026-06-24,GROUP_STAGE,Colombia,Congo DR,1,0,HOME_TEAM,REGULAR
537338,2026-06-24,GROUP_STAGE,Bosnia-Herzegovina,Qatar,3,1,HOME_TEAM,REGULAR
